1,2,3,4,5,6,7,8,9,10,_id
1,1,1,2,1,0,1,1,1,1,5ryRM96dbXYtL0eR
2,1,1,2,0,0,1,1,1,1,Yg6Q8nFOAFjU5zVE
2,1,1,1,0,0,1,1,1,2,d3iN7viyTuzUDAA9
2,1,1,0,0,0,2,1,1,2,gWauyY2BfnERarWd
3,1,0,0,0,0,2,1,1,2,Eq9X9VjhJ5eUvym9
2,2,0,0,0,0,2,1,1,2,iy4C5brWmjVIvKjp
2,3,0,0,0,0,2,1,1,1,5UBguj8EDiobq65j
2,2,0,0,0,0,2,2,1,1,g9W3vkZJi9vVpwQO
2,1,0,0,0,0,2,2,2,1,greFuUMLSb50YuIC
1,1,0,0,0,0,2,3,2,1,D2z1GC0GbXYhoxIg
2,0,0,0,0,0,2,3,2,1,Aag5RHGpbMQxWPDD
2,0,0,0,0,0,3,3,2,0,JNj4LIb7EwWiyUF3
1,0,0,0,0,0,3,4,2,0,Me8krCJuAzWHh4Hf
2,0,0,0,0,0,3,3,2,0,dFilsNoUBmjbGp0M
1,0,0,0,0,0,3,4,2,0,4w6T5XE7RDWSN3wL
0,0,0,0,0,0,4,4,2,0,qG32syjwGpd9Kfsr
