1,2,3,4,5,6,7,8,9,10,_id
1,1,2,1,1,0,1,1,1,1,5FUF1QObVbjtV7I1
2,1,2,1,0,0,1,1,1,1,ebSziC8dl2berLmW
2,1,1,2,0,0,1,1,1,1,sFeyu3hVFGBRyjLj
2,2,1,1,0,0,1,1,1,1,4SHMH6SswNnFm7fd
2,3,0,1,0,0,1,1,1,1,hzgBsNqAefWwdH9W
2,2,0,1,0,0,2,1,1,1,xcUdw8EPz0nFgJTw
3,2,0,0,0,0,2,1,1,1,eRp1VRRT3oc3NmJN
2,3,0,0,0,0,2,1,1,1,S8JI3SvXnQ0ZxGJx
1,3,0,0,0,0,3,1,1,1,5DNPjtILMEa2OIPf
1,2,0,0,0,0,3,1,2,1,Gs495wrteM2DdKMQ
0,2,0,0,0,0,4,1,2,1,FcElauBE3JNUY4SQ
0,2,0,0,0,0,5,1,1,1,PqzDTyXhjto7Szzv
0,2,0,0,0,0,4,1,1,2,uD29ByfAUztp6Kdq
0,3,0,0,0,0,4,1,1,1,MNTRWzZ1L2MmLBW1
0,2,0,0,0,0,4,2,1,1,vcygB5zIBCLbOO6H
