1,2,3,4,5,6,7,8,9,10,_id
2,1,1,1,1,0,1,1,1,1,N5xMK8nXX9SHLp25
2,1,1,1,0,0,1,1,2,1,TY8f3Hs34xnUst0w
2,1,1,0,0,0,1,1,3,1,LBbLZxtk0ZeQm0OI
1,1,2,0,0,0,1,1,3,1,sWk5xAyn041ps1aN
1,1,1,0,0,0,1,1,4,1,Ra6BsQdSnDJOAyIN
1,2,0,0,0,0,1,1,4,1,qqEBWYrsk9D0zI0I
1,1,0,0,0,0,1,1,4,2,AWutuoAFUNYd6dbP
0,1,0,0,0,0,1,2,4,2,GKx1myPqzsZ7Cs1P
0,0,0,0,0,0,2,2,4,2,bUkyltw06vH9oAY4
0,0,0,0,0,0,2,2,4,2,UHUu1ePKg5JnOUR4
0,0,0,0,0,0,2,2,5,1,G67HSIqDne3oOenc
0,0,0,0,0,0,3,2,4,1,GRtXqAjvqpW9NZM4
0,0,0,0,0,0,4,2,3,1,Z9iz3qlfrRzUEXO3
0,0,0,0,0,0,4,3,3,0,IZuNFKA736rAnAoy
