1,2,3,4,5,6,7,8,9,10,_id
1,1,2,1,1,0,1,1,1,1,t9aCpZ593Jp7EQ9Y
1,1,2,1,0,0,1,2,1,1,bczvy78VRZPpKOQj
1,1,3,0,0,0,1,2,1,1,Uc7q2t3rRdvMslaA
1,1,4,0,0,0,1,1,1,1,JTK3uWmXHCleFAy6
2,1,3,0,0,0,1,1,1,1,OOE6ZxMHNiu5q9SQ
2,1,3,0,0,0,1,1,1,1,W6602tVGatBf9yPM
2,1,3,0,0,0,1,1,1,1,vn9xZGGROcJPS5am
2,1,2,0,0,0,2,1,1,1,9zP2LqhqT7HW2zU1
1,1,2,0,0,0,2,2,1,1,2Od7d4X1LRlQ0JRo
1,1,1,0,0,0,2,3,1,1,r24EBEOQGuhGvhmr
1,1,1,0,0,0,2,3,2,0,JnjBReNBwdthmHO0
1,1,0,0,0,0,2,4,2,0,Ko41L1TXoGT30zAm
1,0,0,0,0,0,2,5,2,0,VL7IFRtCOkUH5gdI
0,0,0,0,0,0,2,6,2,0,QVuCfwWTjl7JfUsD
