1,2,3,4,5,6,7,8,9,10,_id
1,1,1,1,2,0,1,1,1,1,6LhFs1Qh0dAtRTiC
1,1,2,1,1,0,1,1,1,1,YMhPHNFFoeukKFHv
1,1,2,2,0,0,1,1,1,1,hEsHQu0E0LjvRZUX
1,1,3,1,0,0,1,1,1,1,8rhUv7qlgeggHoL4
1,1,2,1,0,0,1,1,2,1,KCdvSzHBOGTkptIY
2,1,2,0,0,0,1,1,2,1,q9Ontmy7mepkQu6x
1,1,2,0,0,0,1,2,2,1,5SLUui9IHHAAPwqC
2,1,1,0,0,0,1,2,2,1,pxbEmxubQee75rz6
2,2,0,0,0,0,1,2,2,1,n3ZJZ3MqWjT9YPYa
1,2,0,0,0,0,1,2,3,1,S0iUyLw7Z57GINrn
1,1,0,0,0,0,1,3,3,1,ddCtS6IbcdWB6viz
1,1,0,0,0,0,1,4,3,0,j6e2rUoIfJIzeomp
0,1,0,0,0,0,1,5,3,0,dtqR5vXEhOgHBLeN
0,0,0,0,0,0,1,5,4,0,s4PdSsY2GyErp249
