1,2,3,4,5,6,7,8,9,10,_id
1,1,1,1,1,0,2,1,1,1,tQTl9YGF8rJf3dEF
1,1,1,1,0,0,2,1,2,1,VZriOgQez5ZH1Chg
1,1,2,1,0,0,1,1,2,1,ynT2iUNrzDmFaGmG
1,1,3,0,0,0,1,1,2,1,c6wviCLj27ROsoL5
2,1,2,0,0,0,1,1,2,1,qsvIE8eH0gpwfGa2
1,1,2,0,0,0,1,1,3,1,aFKbdijPKWdcjpkw
2,1,1,0,0,0,1,1,3,1,pYDO6y7rgdprGFwP
1,1,1,0,0,0,1,2,3,1,uQpxdDwp8OXvWQvY
0,1,1,0,0,0,1,2,4,1,9M90FsBIEGBVO6ma
0,1,0,0,0,0,1,2,5,1,Z6jgfEGCqI2QPEsh
0,0,0,0,0,0,1,2,5,2,VjT5UeW2S7E4A9R6
0,0,0,0,0,0,1,2,6,1,0hgoI5D9WMjrwFms
0,0,0,0,0,0,1,2,5,2,wFmowwjQdODbhWs6
0,0,0,0,0,0,1,2,6,1,UKezCW6558TiF3w8
0,0,0,0,0,0,1,3,5,1,xqTfvqoay3cweoHJ
0,0,0,0,0,0,1,4,5,0,wMNv2Pub8IZO6pIC
0,0,0,0,0,0,1,3,6,0,Nd9BdCq33CZFz88B
